Name,Brand,Chemistry,Form Factor,Cost (GBP),Length,Width,Depth,Diameter,Volume,Mass,Capacity_Ah,Min Voltage_V,Nom Voltage_V,Peak Voltage_V,Max Continuous Current_A,Max Current_A,Internal Resistance_mOhms
LG  INR18650 MJ1,LG,NMC,Cylindrical,4.51,0.0650,,,0.0184,1.72838E-05,0.049,3.5,2.5,3.6,4.2,10,20,40
Honcell HCP786387,Honcell,LCO,Pouch,,0.0875,0.635,0.0078,,0.000433388,0.0867,6.3,2.5,3.7,4.2,2.1,6.3,45
Samsung 18650 30Q,Samsung,NCA,Cylindrical,1.99,0.0659,-,-,0.018,1.67568E-05,0.046,3.0,2.5,3.6,4.2,15,20,20
Samsung INR21700-50E,Samsung,NMC,Cylindrical,5.89,0.0703,,,0.021,2.43491E-05,0.069,4.9,2.5,3.6,4.2,14.7,14.7,
Panasonic NCR18650BF,Panasonic,NCA,Cylindrical,8.22,0.0651,,,0.01824,1.70106E-05,0.047,3.4,2.5,3.6,4.2,3.3,6.5,
LG INR 21700 M50T,LG,NMC,Cylindrical,4.9,0.0708,,,0.02144,2.55607E-05,0.07,5,2.5,3.6,4.2,14.5,14.5,
Sony VTC6 18650,Sony,NMC,Cylindrical,5.99,0.0649,,,0.0182,1.68841E-05,0.0468,3,2.5,3.6,4.2,15,30,13
LG 18650 HG2  INR18650HG2,LG,NMC,Cylindrical,2.19,0.0650,,,0.0183,1.70964E-05,0.047,3.0,2.5,3.6,4.2,20,20,40
Sanyo NCR2070C,Sanyo,NCA,Cylindrical,9.9,0.0700,,,0.02,2.19911E-05,0.062,3.5,2.5,3.6,4.2,30,30,
Samsung 18650 25R,Samsung,NMC,Cylindrical,1.78,0.0659,-,-,0.018,1.67568E-05,0.045,2.5,2.5,3.6,4.2,20,50,22
Panasonic NCR20700B,Panasonic,NCA,Cylindrical,17.3,0.0703,,,0.02035,2.28651E-05,0.063,4.3,2.5,3.6,4.2,15,20,20
Molicel INR-18650-P28A,Molicel,NMC,Cylindrical,6.25,0.0652,,,0.0186,1.77159E-05,0.046,2.8,2.5,3.6,4.2,35,35,20
Molicel INR-18650A,Molicel,NMC,Cylindrical,4.29,0.0652,,,0.0186,1.77159E-05,0.047,2.5,2.5,3.6,4.2,20,20,20
Sanyo NCR20650A,Sanyo,NCA,Cylindrical,7.25,0.0653,,,0.0235,2.8323E-05,0.055,3.1,2.5,3.6,4.2,30,30,
Molicel INR20700A,Molicel,NMC,Cylindrical,6.59,0.071,,,0.0204,2.32064E-05,0.0578,3,2.5,3.6,4.2,35,35,20
Samsung INR21700-40T,Samsung,NMC,Cylindrical,9.49,0.0703,,,0.02122,2.4862E-05,0.070,4.0,2.5,3.6,4.2,30,30,80
Molicel INR21700-P42A,Molicel,NMC,Cylindrical,7,0.0702,,,0.021,2.43145E-05,0.070,4.2,2.5,3.7,4.2,45,45,20
Sony VTC6 21700,Sony,NMC,Cylindrical,8.9,0.0704,,,0.021,2.43838E-05,0.07,4,2.5,3.6,4.2,30,30,
Molicel INR-18650-P26A,Molicel,NMC,Cylindrical,5.29,0.0652,,,0.0186,1.77159E-05,0.05,2.6,2.5,3.6,4.2,35,35,20
NiteCore IMR 18650,NiteCore,IMR,Cylindrical,11.49,0.065,,,0.0183,1.70964E-05,0.04,2.1,2.5,3.7,4.2,30,30,
Sanyo NCR20700A,Sanyo,NCA,Cylindrical,6.5,0.0703,,,0.02035,2.28651E-05,0.060,3.3,2.5,3.6,4.2,30,30,
Kokam SLPB080085270,Kokam,NMC,Pouch,,0.275,0.099,0.0079,,0.000215078,0.387,26,2.5,3.67,4.2,52,104,1.6
Samsung 18650 20R INR18650-20R,Samsung,NMC,Cylindrical,1.3,0.0659,-,-,0.018,1.67695E-05,0.045,2.0,2.5,3.6,4.2,20,22,24
Samsung INR21700-30T,Samsung,NMC,Cylindrical,6.12,0.0703,,,0.02122,2.4862E-05,0.070,3.0,2.5,3.6,4.2,35,35,15
LithiumWerks A123 ANR26650M1-B,A123,LFP,Pouch,4.73,0.227,0.16,0.00725,,0.00026332,0.496,20,2.5,3.3,4.2,100,500,
VPW 580052 LCO,VPW,LCO,Pouch,27,0.158,0.06,0.006,,0.00005688,0.167,8,2.5,3.7,4.2,120,240,3
Altertek A123 NMC Pouch cell AMP26 NMC,A123,NMC,Pouch,20.19,0.227,0.161,0.0075,,0.000274103,0.55,26,2.5,3.7,4.15,155,355,
Bestgo BCP-FE-30E,Bestgo,LFP,Pouch,17,0.155,0.262,0.0076,,0.000308636,0.59,30,2.5,3.2,4.2,90,150,1.5
Bestgo BCP-NE-37K,Bestgo,NMC,Pouch,21.5,0.155,0.262,0.0076,,0.000308636,0.62,37,2.5,3.7,4.2,111,185,1.5
Honcell IFR18650P,Honcell,LFP,Cylindrical,6,0.0653,,,0.018,1.66168E-05,0.04,1.1,2.5,3.2,3.65,16.5,7.5,60
Bestgo BCP-NE-48M,Bestgo,NMC,Pouch,36.75,0.0991,0.35052,0.011938,,0.000414685,0.75,48,2.5,3.7,4.2,144,240,1
Honcell IFR26650P,Honcell,LFP,Cylindrical,10,0.0653,,,0.0262,3.52051E-05,0.089,2.4,2.5,3.2,3.65,36,40,60
LG E63 - TAYCAN POUCH Cell,LG,NMC,Pouch,,0.325,0.125,0.0115,,,0.964,65.6,2.5,3.6,4.2,32.5,,
